gridpoint,lon,lat
119,16.9424782,56.6415253
120,17.0461655,56.7751884
121,17.1507416,56.9087143
122,17.2562370,57.0421257
123,17.3626556,57.1754112
124,17.4700012,57.3085594
125,17.5782852,57.4415855
126,17.6875267,57.5744781
127,13.6593475,52.0821648
128,13.7369308,52.2195168
129,13.8151398,52.3567810
130,13.8939896,52.4939728
131,13.9734726,52.6310730
132,14.0536041,52.7680893
133,14.1343842,52.9050255
134,14.2158203,53.0418625
135,14.2979202,53.1786194
136,14.3807068,53.3152885
137,14.4641647,53.4518700
138,14.5483017,53.5883522
139,14.6331482,53.7247505
140,14.7186890,53.8610573
141,14.8049316,53.9972610
142,14.8919067,54.1333771
143,14.9795990,54.2693939
144,15.0680161,54.4053154
145,15.1571732,54.5411339
146,15.2470779,54.6768532
147,15.3377457,54.8124771
148,15.4291687,54.9479980
149,15.5213623,55.0834084
150,15.6143417,55.2187271
151,15.7081070,55.3539314
152,15.8026581,55.4890289
153,15.8980179,55.6240158
154,15.9942017,55.7588997
155,16.0911980,55.8936653
156,16.1890335,56.0283241
157,16.2877007,56.1628685
158,16.3872223,56.2972984
159,16.4876060,56.4316139
160,16.5888519,56.5658073
161,16.6909904,56.6998901
162,16.7940102,56.8338470
163,16.8979187,56.9676743
164,17.0027390,57.1013908
165,17.1084862,57.2349777
166,17.2151527,57.3684311
167,17.3227539,57.5017586
168,17.4313126,57.6349602
169,13.4283981,52.1309395
170,13.5054016,52.2685318
171,13.5830307,52.4060440
172,13.6612930,52.5434799
173,13.7401886,52.6808281
174,13.8197250,52.8180885
175,13.8999176,52.9552689
176,13.9807587,53.0923615
177,14.0622635,53.2293701
178,14.1444321,53.3662949
179,14.2272949,53.5031281
180,14.3108292,53.6398735
181,14.3950653,53.7765236
182,14.4799881,53.9130898
183,14.5656204,54.0495567
184,14.6519699,54.1859322
185,14.7390366,54.3222160
186,14.8268280,54.4584045
187,14.9153671,54.5944939
188,15.0046310,54.7304726
189,15.0946579,54.8663712
190,15.1854477,55.0021629
191,15.2770004,55.1378517
192,15.3693314,55.2734413
193,15.4624481,55.4089241
194,15.5563583,55.5442924
195,15.6510696,55.6795654
196,15.7465897,55.8147278
197,15.8429337,55.9497833
198,15.9401093,56.0847244
199,16.0381203,56.2195587
200,16.1369705,56.3542747
201,16.2366791,56.4888802
202,16.3372612,56.6233635
203,16.4387245,56.7577438
204,16.5410614,56.8919945
205,16.6442986,57.0261230
206,16.7484436,57.1601410
207,16.8534927,57.2940254
208,16.9594688,57.4277802
209,17.0663910,57.5614204
210,17.1742592,57.6949310
211,13.1969452,52.1792641
212,13.2733688,52.3170967
213,13.3504028,52.4548492
214,13.4280777,52.5925293
215,13.5063782,52.7301178
216,13.5853195,52.8676300
217,13.6649094,53.0050583
218,13.7451477,53.1423988
219,13.8260498,53.2796593
220,13.9076157,53.4168320
221,13.9898529,53.5539169
222,14.0727768,53.6909218
223,14.1563873,53.8278275
224,14.2406921,53.9646492
225,14.3256989,54.1013794
226,14.4114227,54.2380142
227,14.4978638,54.3745613
